#G:5,#H:2,#F:0,#E:0

"1D",0.6666666666659999,0.6666666666663333,0,2
#,%
0,100
1,55.5555555556
2,11.111111111200003

"2D",0.6666666666659999,0.6666666666663333,0,2
#,%
0,100
1,55.5555555556
2,11.111111111200003

"3D",0.999999999999,0.8164965809273178,0,3
#,%
0,100
1,70.3703703704
2,25.925925925999998
3,3.7037037037999987

"4D",1.3333333333326,0.9428090415823108,0,4
#,%
0,100
1,80.2469135802
2,40.7407407407
3,11.111111111099998
4,1.2345679012199984

"5D",1.66666666666725,1.0540925533891172,0,5
#,%
0,100
1,86.8312757202
2,53.909465020599995
3,20.987654320999994
4,4.526748971199993
5,0.41152263374999265

"6D",1.99999999999988,1.154700538379315,0,6
#,%
0,100
1,91.22085048011
2,64.88340192041
3,31.961591220809993
4,10.013717421109991
5,1.7832647462099906
6,0.13717421122999074

"7D",2.333333333332836,1.2472191289249046,0,7
#,%
0,100
1,94.14723365341
2,73.66255144031
3,42.935528120709996
4,17.329675354409996
5,4.5267489712099955
6,0.6858710562599954
7,0.04572473710099545

"8D",2.6666666666644776,1.3333333333326978,0,8
#,%
0,100
1,96.09815576894
2,80.49077884474
3,53.17786922734001
4,25.864959609940012
5,8.794391099040013
6,1.966163694680013
7,0.259106843590013
8,0.015241579149013001

"0K",0,0,0,0
#,%
0,100

"1K",0.33333333333299997,0.4714045207909138,0,1
#,%
0,100
1,33.333333333300004

"2K",0.6666666666659999,0.6666666666663333,0,2
#,%
0,100
1,55.5555555556
2,11.111111111200003

"3K",0.999999999999,0.8164965809273178,0,3
#,%
0,100
1,70.3703703704
2,25.925925925999998
3,3.7037037037999987

"4K",1.3333333333326,0.9428090415823108,0,4
#,%
0,100
1,80.2469135802
2,40.7407407407
3,11.111111111099998
4,1.2345679012199984

